"","ID","year","month","intervention","Population","Population.u5","Population.over5","closest.csb","real.dist.csb","m1.fit.st","palu.pc.2nn_0.08","palu.und5.pc.3nn_0.19","fokontany","altitude","nets.high","nets.low","yfl","tc","fcl","maj.veg","min.veg","med.veg","mean.ann.temp","min.ann.temp","max.ann.temp","mean.ann.p","wet.p","dry.p","monthly.p","monthly.max.t","monthly.min.t","monthly.p.lag","monthly.max.t.lag","monthly.min.t.lag","lat","long","x_32738","y_32738"
"44",137,2014,1,0,1015,183,832,"csb2.androrangavola",5.794,NA,NA,NA,"AMBODIRORANGA",351.6,0.688677944955916,0.7605666951287,0.0502735792838182,51.0879787637467,0.0731892301858172,16,7,"Degraded humid forest",21.8173609839545,13.4111110369364,28.8055555555556,41550,7298,1182,381.1204283,29.3551746,21.22727189,373.7112135,29.65630863,21.70042956,-21.52607817,47.68161377,777783.3095,7617241.624
"45",138,2014,1,0,1212,218,994,"csb2.androrangavola",7.326,NA,NA,NA,"AMBOHIMISAFY",273.571428571429,0.691567069041107,0.756709603008126,0.0539880824179769,49.2943499174384,0.0644698111852969,16,6,"Degraded humid forest",22.0637818850004,13.6846154286311,29.0615384028508,29818,5212,872,378.2416942,29.47124397,21.35849394,381.1204283,29.3551746,21.22727189,-21.55537378,47.69470043,779083.587,7613973.185
"46",139,2014,1,0,826,149,677,"csb2.androrangavola",5.808,NA,NA,NA,"AMBALATABAKA",287.714285714286,0.684168456645299,0.765567667452564,0.0495537308104248,45.0322027847197,0.0615494466262049,16,6,"Degraded humid forest",22.1134615678054,13.7307692307692,29.1307692894569,30033,5187,870,375.3176698,29.5894012,21.47993828,378.2416942,29.47124397,21.35849394,-21.54574218,47.7168006,781392.3016,7615000.328
"47",14,2014,1,1,939,169,770,"csb2.tsaratanana",10.487,NA,NA,NA,"AMBODIMANGA EST",465.333333333333,0.616419506291529,0.575613524273537,0.149365303244006,63.0161318758815,0.221826516220028,16,6,"Degraded humid forest",21.3436224411945,12.9979591369629,28.4673468920649,118340,21270,2969,406.260327,28.98648571,20.67676817,396.3773153,28.73629225,20.3164517,-21.23895394,47.69117633,779319.4613,7649028.747
"48",140,2014,1,0,2043,368,1675,"csb1.mahasoa",4.641,NA,NA,NA,"ANIVORANO",279.071428571429,0.686039453738401,0.776806397360608,0.0592212447051157,45.2734604105572,0.0760834147930922,16,4,"Degraded humid forest",21.3843623208656,13.0047547135759,28.5513765843159,67924,11880,1864.66666666667,373.6507713,29.69614812,21.63878127,375.3176698,29.5894012,21.47993828,-21.52177309,47.74774429,784645.8614,7617599.262
"49",141,2014,1,0,1526,275,1251,"csb2.androrangavola",6.184,NA,NA,NA,"AMPASIMPOTSY",443.083333333333,0.690154443796607,0.756433017918651,0.100489502002508,58.0824871556293,0.143735588009224,16,14,"Degraded humid forest",20.7377052853073,12.2081521718398,27.9872825995736,52344.6666666667,9511.33333333333,1397,387.3741993,28.94286381,20.80148176,373.6507713,29.69614812,21.63878127,-21.45740357,47.69498469,779300.3154,7624824.793
"50",142,2014,1,0,487,88,399,"csb1.maromanana",5.778,NA,NA,NA,"AMBOHIMIARINA",659.941176470588,0.608725211070134,0.568481026512134,0.0408607659792494,53.0109517100038,0.0571602408095299,16,6,"Degraded humid forest",20.5808034624372,11.5321428775787,28.1678574425834,57343,10731,1577,353.4119829,28.36523488,19.40793226,387.3741993,28.94286381,20.80148176,-20.89820851,47.54258279,764491.5158,7687023.502
"51",143,2014,1,0,759,137,622,"csb1.ambodimanga.nord",8.835,NA,NA,NA,"MATSITSIRANO",749.533333333333,0.581713818659967,0.621409211872554,0.0851627439637061,58.8175258045855,0.110464939256463,16,14,"Degraded humid forest",20.1565279006958,11.1033334414164,27.7933331807454,58446,10979,1600,334.9321555,27.97849987,18.92904929,353.4119829,28.36523488,19.40793226,-20.75978383,47.53699582,764151.5868,7702363.536
"52",144,2014,1,0,730,131,599,"csb2.analampasina",8.959,NA,NA,NA,"BETAMPO NORD",906,0.579465723306851,0.585505864526299,0.0906110877317327,75.3406276993953,0.11559502979025,14,16,"Humid forest",19.0619658934764,10.1384615531335,26.5256410745474,70875,13286,1926,321.0155781,27.16479776,18.33768843,334.9321555,27.97849987,18.92904929,-20.81007119,47.49183274,759360.9519,7696867.499
"53",145,2014,1,0,553,100,453,"csb2.analampasina",5.478,NA,NA,NA,"ANDRORANGAVOLA SUD",720.818181818182,0.587621064127247,0.586299108809266,0.108983725500076,64.2475940948254,0.14112964175946,16,7,"Degraded humid forest",20.2541665469899,11.2647058823529,27.7941177592558,33314,6257,928,342.1021624,28.12722955,19.23187843,321.0155781,27.16479776,18.33768843,-20.82876444,47.51707342,761957.0323,7694756.362
